train\eval,DNRTI,ATTACKER,APTNER,CYNER
DNRTI,0.6384,0.3211,0.3841,0.2104
ATTACKER,0.3151,0.6152,0.3951,0.4525
APTNER,0.3260,0.2745,0.6909,0.5214
CYNER,0.2160,0.2059,0.3675,0.7132
