train\eval,DNRTI,ATTACKER,APTNER,CYNER
DNRTI,0.6940,0.3959,0.2655,0.2034
ATTACKER,0.4431,0.6927,0.3900,0.4756
APTNER,0.4400,0.4069,0.6690,0.5901
CYNER,0.2883,0.3753,0.3550,0.7767
