train\eval,DNRTI,ATTACKER,APTNER,CYNER
DNRTI,0.6324,0.3032,0.2147,0.1614
ATTACKER,0.3449,0.6144,0.2629,0.3704
APTNER,0.3897,0.3242,0.5881,0.5490
CYNER,0.2499,0.2421,0.3153,0.7344
