train\eval,DNRTI,ATTACKER,APTNER,CYNER
DNRTI,0.6264,0.2873,0.1490,0.1309
ATTACKER,0.3810,0.6137,0.1970,0.3135
APTNER,0.4843,0.3958,0.5119,0.5797
CYNER,0.2964,0.2937,0.2761,0.7569
